|Revista|ISSN|Volume|Número|Submissao|Data de Publicação|Titulo|Secçao|DOI|Autor|Afiliação|Citação
0|Vol. 40 (2024): Suplemento 11|2182-5181|40|Não disponivel|2024-01-12|2024-02-14|Chronic kidney disease: a practical guide (ACT-NAU)|Formação|Não fornecido|Ana Corte-Real|"UCSP Barroselas, ULS do Alto Minho. Famalicão, Portugal | MTG Research and Development Lab. Porto, Portugal."|Corte-Real, A., Nunes, A., Rodrigues, A. I., Belino, C., Outerelo, C., Ramos, D., Silva, G., Guimarães, G., Sousa, H., Aires, I., Fortuna, I., Luz, I., Goncalves, J. M., Nobre, J. P., Calado, J., Malheiro, J., Cardoso, L., Luz-Duarte, L., Mendonca, L., Rodrigues, L., Amoedo, M., Bigotte Vieira, M., Felgueiras, P., Subtil, P., Lopes, R., Homem Melo, S., Heitor, S., Silva Domingues, V., & Lopes, Z. (2024). Chronic kidney disease: a practical guide (ACT-NAU). Revista Portuguesa De Medicina Geral E Familiar, 40. Obtido de https://rpmgf.pt/ojs/index.php/rpmgf/article/view/13985
1|Vol. 40 (2024): Suplemento 11|2182-5181|40|Não disponivel|2024-01-12|2024-02-14|Chronic kidney disease: a practical guide (ACT-NAU)|Formação|Não fornecido|Andreia Nunes|Internal Medicine Department, Hospital Garcia de Orta, EPE. Almada, Portugal.|Corte-Real, A., Nunes, A., Rodrigues, A. I., Belino, C., Outerelo, C., Ramos, D., Silva, G., Guimarães, G., Sousa, H., Aires, I., Fortuna, I., Luz, I., Goncalves, J. M., Nobre, J. P., Calado, J., Malheiro, J., Cardoso, L., Luz-Duarte, L., Mendonca, L., Rodrigues, L., Amoedo, M., Bigotte Vieira, M., Felgueiras, P., Subtil, P., Lopes, R., Homem Melo, S., Heitor, S., Silva Domingues, V., & Lopes, Z. (2024). Chronic kidney disease: a practical guide (ACT-NAU). Revista Portuguesa De Medicina Geral E Familiar, 40. Obtido de https://rpmgf.pt/ojs/index.php/rpmgf/article/view/13985
2|Vol. 40 (2024): Suplemento 11|2182-5181|40|Não disponivel|2024-01-12|2024-02-14|Chronic kidney disease: a practical guide (ACT-NAU)|Formação|Não fornecido|Ana Isabel Rodrigues|USF Cidade Jardim, ULS Viseu Dão-Lafões EPE. Viseu, Portugal.|Corte-Real, A., Nunes, A., Rodrigues, A. I., Belino, C., Outerelo, C., Ramos, D., Silva, G., Guimarães, G., Sousa, H., Aires, I., Fortuna, I., Luz, I., Goncalves, J. M., Nobre, J. P., Calado, J., Malheiro, J., Cardoso, L., Luz-Duarte, L., Mendonca, L., Rodrigues, L., Amoedo, M., Bigotte Vieira, M., Felgueiras, P., Subtil, P., Lopes, R., Homem Melo, S., Heitor, S., Silva Domingues, V., & Lopes, Z. (2024). Chronic kidney disease: a practical guide (ACT-NAU). Revista Portuguesa De Medicina Geral E Familiar, 40. Obtido de https://rpmgf.pt/ojs/index.php/rpmgf/article/view/13985
3|Vol. 40 (2024): Suplemento 11|2182-5181|40|Não disponivel|2024-01-12|2024-02-14|Chronic kidney disease: a practical guide (ACT-NAU)|Formação|Não fornecido|Carolina Belino|Centro Hospitalar Universitário Cova da Beira, ULS da Cova da Beira EPE. Covilhã, Portugal.|Corte-Real, A., Nunes, A., Rodrigues, A. I., Belino, C., Outerelo, C., Ramos, D., Silva, G., Guimarães, G., Sousa, H., Aires, I., Fortuna, I., Luz, I., Goncalves, J. M., Nobre, J. P., Calado, J., Malheiro, J., Cardoso, L., Luz-Duarte, L., Mendonca, L., Rodrigues, L., Amoedo, M., Bigotte Vieira, M., Felgueiras, P., Subtil, P., Lopes, R., Homem Melo, S., Heitor, S., Silva Domingues, V., & Lopes, Z. (2024). Chronic kidney disease: a practical guide (ACT-NAU). Revista Portuguesa De Medicina Geral E Familiar, 40. Obtido de https://rpmgf.pt/ojs/index.php/rpmgf/article/view/13985
4|Vol. 40 (2024): Suplemento 11|2182-5181|40|Não disponivel|2024-01-12|2024-02-14|Chronic kidney disease: a practical guide (ACT-NAU)|Formação|Não fornecido|Cristina Outerelo|Nephrology Department, ULS de Santa Maria EPE, Hospital Universitário de Santa Maria. Lisbon, Portugal.|Corte-Real, A., Nunes, A., Rodrigues, A. I., Belino, C., Outerelo, C., Ramos, D., Silva, G., Guimarães, G., Sousa, H., Aires, I., Fortuna, I., Luz, I., Goncalves, J. M., Nobre, J. P., Calado, J., Malheiro, J., Cardoso, L., Luz-Duarte, L., Mendonca, L., Rodrigues, L., Amoedo, M., Bigotte Vieira, M., Felgueiras, P., Subtil, P., Lopes, R., Homem Melo, S., Heitor, S., Silva Domingues, V., & Lopes, Z. (2024). Chronic kidney disease: a practical guide (ACT-NAU). Revista Portuguesa De Medicina Geral E Familiar, 40. Obtido de https://rpmgf.pt/ojs/index.php/rpmgf/article/view/13985
5|Vol. 40 (2024): Suplemento 11|2182-5181|40|Não disponivel|2024-01-12|2024-02-14|Chronic kidney disease: a practical guide (ACT-NAU)|Formação|Não fornecido|Diogo Ramos|USF São Teotónio, ULS Viseu Dão-Lafões EPE. Viseu, Portugal.|Corte-Real, A., Nunes, A., Rodrigues, A. I., Belino, C., Outerelo, C., Ramos, D., Silva, G., Guimarães, G., Sousa, H., Aires, I., Fortuna, I., Luz, I., Goncalves, J. M., Nobre, J. P., Calado, J., Malheiro, J., Cardoso, L., Luz-Duarte, L., Mendonca, L., Rodrigues, L., Amoedo, M., Bigotte Vieira, M., Felgueiras, P., Subtil, P., Lopes, R., Homem Melo, S., Heitor, S., Silva Domingues, V., & Lopes, Z. (2024). Chronic kidney disease: a practical guide (ACT-NAU). Revista Portuguesa De Medicina Geral E Familiar, 40. Obtido de https://rpmgf.pt/ojs/index.php/rpmgf/article/view/13985
6|Vol. 40 (2024): Suplemento 11|2182-5181|40|Não disponivel|2024-01-12|2024-02-14|Chronic kidney disease: a practical guide (ACT-NAU)|Formação|Não fornecido|Gil Silva|Hospital Dr. Nélio Mendonça, Serviço de Saúde da Região Autónoma da Madeira, EPE (SESARAM). Funchal, Portugal.|Corte-Real, A., Nunes, A., Rodrigues, A. I., Belino, C., Outerelo, C., Ramos, D., Silva, G., Guimarães, G., Sousa, H., Aires, I., Fortuna, I., Luz, I., Goncalves, J. M., Nobre, J. P., Calado, J., Malheiro, J., Cardoso, L., Luz-Duarte, L., Mendonca, L., Rodrigues, L., Amoedo, M., Bigotte Vieira, M., Felgueiras, P., Subtil, P., Lopes, R., Homem Melo, S., Heitor, S., Silva Domingues, V., & Lopes, Z. (2024). Chronic kidney disease: a practical guide (ACT-NAU). Revista Portuguesa De Medicina Geral E Familiar, 40. Obtido de https://rpmgf.pt/ojs/index.php/rpmgf/article/view/13985
7|Vol. 40 (2024): Suplemento 11|2182-5181|40|Não disponivel|2024-01-12|2024-02-14|Chronic kidney disease: a practical guide (ACT-NAU)|Formação|Não fornecido|Gilberto Guimarães|USF Felgaria Rubeans, ULS do Tâmega e Sousa EPE. Felgueiras, Portugal.|Corte-Real, A., Nunes, A., Rodrigues, A. I., Belino, C., Outerelo, C., Ramos, D., Silva, G., Guimarães, G., Sousa, H., Aires, I., Fortuna, I., Luz, I., Goncalves, J. M., Nobre, J. P., Calado, J., Malheiro, J., Cardoso, L., Luz-Duarte, L., Mendonca, L., Rodrigues, L., Amoedo, M., Bigotte Vieira, M., Felgueiras, P., Subtil, P., Lopes, R., Homem Melo, S., Heitor, S., Silva Domingues, V., & Lopes, Z. (2024). Chronic kidney disease: a practical guide (ACT-NAU). Revista Portuguesa De Medicina Geral E Familiar, 40. Obtido de https://rpmgf.pt/ojs/index.php/rpmgf/article/view/13985
8|Vol. 40 (2024): Suplemento 11|2182-5181|40|Não disponivel|2024-01-12|2024-02-14|Chronic kidney disease: a practical guide (ACT-NAU)|Formação|Não fornecido|Henrique Sousa|Nephrology Department, Hospital das Forças Armadas. Lisboa, Portugal.|Corte-Real, A., Nunes, A., Rodrigues, A. I., Belino, C., Outerelo, C., Ramos, D., Silva, G., Guimarães, G., Sousa, H., Aires, I., Fortuna, I., Luz, I., Goncalves, J. M., Nobre, J. P., Calado, J., Malheiro, J., Cardoso, L., Luz-Duarte, L., Mendonca, L., Rodrigues, L., Amoedo, M., Bigotte Vieira, M., Felgueiras, P., Subtil, P., Lopes, R., Homem Melo, S., Heitor, S., Silva Domingues, V., & Lopes, Z. (2024). Chronic kidney disease: a practical guide (ACT-NAU). Revista Portuguesa De Medicina Geral E Familiar, 40. Obtido de https://rpmgf.pt/ojs/index.php/rpmgf/article/view/13985
9|Vol. 40 (2024): Suplemento 11|2182-5181|40|Não disponivel|2024-01-12|2024-02-14|Chronic kidney disease: a practical guide (ACT-NAU)|Formação|Não fornecido|Ines Aires|"Nephrology and Transplant Unit, Hospital Curry Cabral, ULS São José EPE. Lisbon, Portugal | NOVA Medical School, Universidade Nova de Lisboa. Lisboa, Portugal."|Corte-Real, A., Nunes, A., Rodrigues, A. I., Belino, C., Outerelo, C., Ramos, D., Silva, G., Guimarães, G., Sousa, H., Aires, I., Fortuna, I., Luz, I., Goncalves, J. M., Nobre, J. P., Calado, J., Malheiro, J., Cardoso, L., Luz-Duarte, L., Mendonca, L., Rodrigues, L., Amoedo, M., Bigotte Vieira, M., Felgueiras, P., Subtil, P., Lopes, R., Homem Melo, S., Heitor, S., Silva Domingues, V., & Lopes, Z. (2024). Chronic kidney disease: a practical guide (ACT-NAU). Revista Portuguesa De Medicina Geral E Familiar, 40. Obtido de https://rpmgf.pt/ojs/index.php/rpmgf/article/view/13985
